Millis:59048, PWM:0.7, ADC:148, Voltage:0.11V, Resistance:266756.75ohm, LUX:4.83
Millis:59049, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.91
Millis:59050, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:255974.03ohm, LUX:4.91
Millis:59051, PWM:0.7, ADC:150, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.87
Millis:59052, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:288978.09ohm, LUX:4.91
Millis:59053, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.87
Millis:59054, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.91
Millis:59055, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.83
Millis:59056, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:263066.66ohm, LUX:4.87
Millis:59057, PWM:0.7, ADC:151, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.91
Millis:59058, PWM:0.7, ADC:145, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.91
Millis:59059, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:263066.66ohm, LUX:4.87
Millis:59060, PWM:0.7, ADC:137, Voltage:0.11V, Resistance:264899.34ohm, LUX:4.91
Millis:59061, PWM:0.7, ADC:147, Voltage:0.12V, Resistance:220112.36ohm, LUX:4.87
Millis:59062, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:263066.66ohm, LUX:4.91
Millis:59063, PWM:0.7, ADC:155, Voltage:0.12V, Resistance:266756.75ohm, LUX:5.13
Millis:59064, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:263066.66ohm, LUX:4.87
Millis:59065, PWM:0.7, ADC:159, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.91
Millis:59066, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.87
Millis:59067, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.91
Millis:59068, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.91
Millis:59069, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.95
Millis:59070, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:264899.34ohm, LUX:5.65
Millis:59071, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:171238.94ohm, LUX:5.17
Millis:59072, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.87
Millis:59073, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.87
Millis:59074, PWM:0.7, ADC:154, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.91
Millis:59075, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.87
Millis:59076, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.91
Millis:59077, PWM:0.7, ADC:138, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.95
Millis:59078, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:264899.34ohm, LUX:5.26
Millis:59079, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:291176.47ohm, LUX:4.95
Millis:59080, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.78
Millis:59081, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.87
Millis:59082, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:288978.09ohm, LUX:4.87
Millis:59083, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.87
Millis:59084, PWM:0.7, ADC:148, Voltage:0.11V, Resistance:264899.34ohm, LUX:4.91
Millis:59085, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.91
Millis:59086, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:264899.34ohm, LUX:5.08
Millis:59087, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:259473.69ohm, LUX:4.91
Millis:59088, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.83
Millis:59089, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:255974.03ohm, LUX:4.87
Millis:59090, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.87
Millis:59091, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:286811.59ohm, LUX:4.87
Millis:59092, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:286811.59ohm, LUX:4.91
Millis:59093, PWM:0.7, ADC:156, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.91
Millis:59094, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:288978.09ohm, LUX:4.87
Millis:59095, PWM:0.7, ADC:148, Voltage:0.11V, Resistance:266756.75ohm, LUX:5.04
Millis:59096, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:264899.34ohm, LUX:5.17
Millis:59097, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.91
Millis:59098, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:266756.75ohm, LUX:5.04
Millis:59099, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.45
Millis:59100, PWM:0.7, ADC:148, Voltage:0.10V, Resistance:266756.75ohm, LUX:4.40
Millis:59101, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.40
Millis:59102, PWM:0.7, ADC:142, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.91
Millis:59103, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:286811.59ohm, LUX:4.91
Millis:59104, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.87
Millis:59106, PWM:0.7, ADC:147, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.91
Millis:59107, PWM:0.7, ADC:153, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.87
Millis:59108, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.45
Millis:59109, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:266756.75ohm, LUX:5.04
Millis:59110, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.83
Millis:59111, PWM:0.7, ADC:149, Voltage:0.11V, Resistance:266756.75ohm, LUX:4.87
Millis:59112, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.40
Millis:59113, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:259473.69ohm, LUX:4.83
Millis:59114, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.87
Millis:59115, PWM:0.7, ADC:148, Voltage:0.11V, Resistance:264899.34ohm, LUX:4.83
Millis:59116, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.87
Millis:59117, PWM:0.7, ADC:147, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.95
Millis:59118, PWM:0.7, ADC:148, Voltage:0.11V, Resistance:264899.34ohm, LUX:4.91
Millis:59119, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.87
Millis:59120, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.95
Millis:59121, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:266756.75ohm, LUX:5.13
Millis:59122, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.91
Millis:59123, PWM:0.7, ADC:148, Voltage:0.11V, Resistance:266756.75ohm, LUX:4.87
Millis:59124, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:288978.09ohm, LUX:4.74
Millis:59125, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.45
Millis:59126, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.87
Millis:59127, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:264899.34ohm, LUX:5.04
Millis:59128, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.87
Millis:59129, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.87
Millis:59130, PWM:0.7, ADC:150, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.40
Millis:59131, PWM:0.7, ADC:147, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.91
Millis:59132, PWM:0.7, ADC:150, Voltage:0.12V, Resistance:259473.69ohm, LUX:4.87
Millis:59133, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.91
Millis:59134, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.91
Millis:59135, PWM:0.7, ADC:137, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.87
Millis:59136, PWM:0.7, ADC:147, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.87
Millis:59137, PWM:0.7, ADC:128, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.95
Millis:59138, PWM:0.7, ADC:144, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.87
Millis:59139, PWM:0.7, ADC:154, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.91
Millis:59140, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:268639.44ohm, LUX:4.87
Millis:59141, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.91
Millis:59142, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.45
Millis:59143, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:261258.28ohm, LUX:4.91
Millis:59144, PWM:0.7, ADC:262, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.91
Millis:59145, PWM:0.7, ADC:152, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.87
Millis:59146, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.91
Millis:59147, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:254258.06ohm, LUX:4.91
Millis:59148, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:286811.59ohm, LUX:4.87
Millis:59149, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.91
Millis:59150, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:257712.42ohm, LUX:5.13
Millis:59151, PWM:0.7, ADC:149, Voltage:0.14V, Resistance:264899.34ohm, LUX:4.87
Millis:59152, PWM:0.7, ADC:149, Voltage:0.14V, Resistance:264899.34ohm, LUX:4.87
Millis:59153, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:259473.69ohm, LUX:4.91
Millis:59154, PWM:0.7, ADC:152, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.87
Millis:59155, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.91
Millis:59156, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:274444.44ohm, LUX:4.53
Millis:59157, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:254258.06ohm, LUX:4.91
Millis:59158, PWM:0.7, ADC:152, Voltage:0.12V, Resistance:263066.66ohm, LUX:4.91
Millis:59159, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.95
Millis:59160, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.91
Millis:59161, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:259473.69ohm, LUX:4.91
Millis:59162, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.49
Millis:59163, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.91
Millis:59164, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:288978.09ohm, LUX:4.95
Millis:59165, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.83
Millis:59166, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.91
Millis:59167, PWM:0.7, ADC:140, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.91
Millis:59168, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.28
Millis:59169, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.83
Millis:59170, PWM:0.7, ADC:149, Voltage:0.11V, Resistance:264899.34ohm, LUX:4.49
Millis:59171, PWM:0.7, ADC:148, Voltage:0.11V, Resistance:266756.75ohm, LUX:4.95
Millis:59172, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.91
Millis:59173, PWM:0.7, ADC:146, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.91
Millis:59174, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:261258.28ohm, LUX:4.91
Millis:59175, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.91
Millis:59176, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.91
Millis:59177, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.91
Millis:59178, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.95
Millis:59179, PWM:0.7, ADC:150, Voltage:0.11V, Resistance:266756.75ohm, LUX:4.87
Millis:59180, PWM:0.7, ADC:148, Voltage:0.11V, Resistance:264899.34ohm, LUX:4.87
Millis:59181, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.95
Millis:59182, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.03
Millis:59183, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:254258.06ohm, LUX:5.04
Millis:59184, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:268639.44ohm, LUX:5.13
Millis:59185, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:334201.69ohm, LUX:4.91
Millis:59186, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.87
Millis:59187, PWM:0.7, ADC:145, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.83
Millis:59188, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.91
Millis:59189, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.87
Millis:59190, PWM:0.7, ADC:148, Voltage:0.11V, Resistance:266756.75ohm, LUX:4.87
Millis:59191, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.91
Millis:59192, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.45
Millis:59193, PWM:0.7, ADC:152, Voltage:0.12V, Resistance:297969.94ohm, LUX:4.87
Millis:59194, PWM:0.7, ADC:162, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.91
Millis:59195, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:268639.44ohm, LUX:4.91
Millis:59196, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.87
Millis:59197, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.87
Millis:59198, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:255974.03ohm, LUX:4.87
Millis:59199, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.91
